Topic,Audience,Title,Format,Date,Year,Month,MediaType,FileType,Publisher,Link,PropertyType,Author,Source,PublicationTitle,Neighborhood,City,County,State,city_state,latitude,longitude,geo_accuracy,Country,Description,Descrtiption Length,Rights,Language,Tags
Maintenance and Rehabilitation,General,Removing Graffiti from Historic Masonry,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/38Preserve-Brief-Graffiti.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Holding the Line: Controlling Unwanted Moisture in Historic Buildings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/39Preserve-Brief-Moisture.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Preserving Historic Ceramic Tile Floors,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/40Preserve-Brief-CeramicTile.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,The Seismic Retrofit of Historic Buildings: Keeping Preservation in the Forefront,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/41Preserve-Brief-SeismicRetrofit.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,"The Maintenance, Repair and Replacement of Historic Cast Stone",,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/42Preserve-Brief-CastStone.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,The Preparation and Use of Historic Structure Reports,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/43Preserve-Brief-StructureReports.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,"The Use of Awnings on Historic Buildings: Repair, Replacement and New Design",,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/44Preserve-Brief-Awnings.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Preserving Historic Wooden Porches,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/45Preserve-Brief-WoodPorches.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,The Preservation and Reuse of Historic Gas Stations,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/46Preserve-Brief-GasStations.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Maintaining the Exterior of Small and Medium Size Historic Buildings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/47Preserve-Brief-SmallMediumExteriors.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Cleaning and Water-Repellent Treatments for Historic Masonry Buildings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/01Preserve-Brief-Cleaning.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Repointing Mortar Joints in Historic Masonry Buildings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/02Preserve-Brief-MortarJoints.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Improving Energy Efficiency in Historic Buildings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/03Preserve-Brief-Energy.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Roofing for Historic Buildings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/04Preserve-Brief-Roofs.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,The Preservation of Historic Adobe Buildings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/05Preserve-Brief-Adobe.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Dangers of Abrasive Cleaning to Historic Buildings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/06Preserve-Brief-Cleaning.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,The Preservation of Historic Glazed Architectural Terra-Cotta,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/07Preserve-Brief-Terra-Cotta.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Aluminum and Vinyl Siding on Historic Buildings: The Appropriateness of Substitute Materials for Resurfacing Historic Wood Frame Buildings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/08Preserve-Brief-Aluminium-Vinyl.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Online only,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/09Preserve-Brief-Wooden-Windows.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Exterior Paint Problems on Historic Woodwork,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/10Preserve-Brief-PaintProblems.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Rehabilitating Historic Storefronts,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/11Preserve-Brief-Storefronts.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,The Preservation of Historic Pigmented Structural Glass (Vitrolite and Carrara Glass),,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/12Preserve-Brief-StructuralGlass.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,The Repair and Thermal Upgrading of Historic Steel Windows,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/13Preserve-Brief-SteelWindows.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,New Exterior Additions to Historic Buildings: Preservation Concerns,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/14Preserve-Brief-Additions.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Preservation of Historic Concrete,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/15Preserve-Brief-Concrete.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,The Use of Substitute Materials on Historic Building Exteriors,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/16Preserve-Brief-Materials.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Architectural Character—Identifying the Visual Aspects of Historic Buildings as an Aid to Preserving their Character,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/17Preserve-Brief-VisualAspects.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Rehabilitating Interiors in Historic Buildings — Identifying Character-Defining Elements,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/18Preserve-Brief-Interiors.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,The Repair and Replacement of Historic Wooden Shingle Roofs,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/19Preserve-Brief-WoodenShingle.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,The Preservation of Historic Barns,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/20Preserve-Brief-Barns.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Repairing Historic Flat Plaster—Walls and Ceilings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/21Preserve-Brief-FlatPlaster.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,The Preservation and Repair of Historic Stucco,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/22Preserve-Brief-Stucco.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,Preserving Historic Ornamental Plaster,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/23Preserve-Brief-OrnamentalPlaster.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Rehabilitation and Maintenance,General,"Heating, Ventilating, and Cooling Historic Buildings: Problems and Recommended Approaches",,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/preservation-briefs/24Preserve-Brief-Ventilation.pdf,,,,Preservation Brief,,,,,,,,,United States,,,,English,
"Research, Documentation and Designation",General,Rehabilitating Interiors in Historic Buildings—Identifying Character-Defining Elements,,,,,,HTML,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/briefs/18-rehabilitating-interiors.htm,,,,Preservation Brief,,,,,,,,,United States,,,,English,
"Research, Documentation and Designation",General,The Repair of Historic Wooden Windows,,,,,,HTML,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/briefs/9-wooden-windows.htm,,,,Preservation Brief,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Historic Garage and Carriage Doors: Rehabilitation Solutions,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Doors01.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Proper Painting and Surface Preparation,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Exterior01.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Paint Removal from Wood Siding,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Exterior02.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Log Crown Repair and Selective Replacement Using Epoxy and Fiberglass Reinforcing Bars,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Exterior03.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Protecting Woodwork Against Decay Using Borate Preservatives,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Exterior04.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Process-Painting Decals as a Substitute for Hand-Stencilled Ceiling Medallions,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Finishes01.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Repair and Reproduction of Prismatic Glass Transoms,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Glass01.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Repair and Rehabilitation of Historic Sidewalk Vault Lights,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Glass02.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Substitute Materials: Replacing Deteriorated Serpentine Stone with Pre-Cast Concrete,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Masonry01.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Stabilization and Repair of a Historic Terra Cotta Cornice,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Masonry02.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Water Soak Cleaning of Limestone,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Masonry03.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Non-destructive Evaluation Techniques for Masonry Construction,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Masonry04.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Replicating Historic Elevator Enclosures,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Mechanical01.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Conserving Outdoor Bronze Sculpture,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Metals01.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Restoring Metal Roof Cornices,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Metals02.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,In-kind Replacement of Historic Stamped-Metal Exterior Siding,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Metals03.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Rehabilitating a Historic Iron Bridge,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Metals04.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Rehabilitating a Historic Truss Bridge Using a Fiber-Reinforced Plastic Deck,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Metals05.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Repair and Reproduction of Metal Canopies and Marquees with Glass Pendants,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Metals06.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Museum Collection Storage in a Historic Building Using a Prefabricated Structure,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Museum01.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Reducing Visible and Ultraviolet Light Damage to Interior Wood Finishes,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Museum02.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Temporary Protection of Historic Stairways,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Protection01.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Specifying Temporary Protection of Historic Interiors During Construction and Repair,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Protection02.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Protecting A Historic Structure during Adjacent Construction,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Protection03.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Restoring Vine Coverage to Historic Buildings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Site01.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Planning Approaches to Window Preservation,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows01.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Installing Insulating Glass in Existing Steel Windows,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows02.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Exterior Storm Windows: Casement Design Wooden Storm Sash,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows03.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Replacement Wooden Frames and Sash,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows04.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Interior Metal Storm Windows,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows05.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Replacement Wooden Sash and Frames With Insulating Glass and Integral Muntins,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows06.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Window Awnings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows07.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Thermal Retrofit of Historic Wooden Sash Using Interior Piggyback Storm Panels,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows08.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Interior Storm Windows: Magnetic Seal,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows09.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Temporary Window Vents in Unoccupied Historic Buildings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows10.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Installing Insulating Glass in Existing Wooden Sash Incorporating the Historic Glass,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows11.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Aluminum Replacements for Steel Industrial Sash,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows12.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Aluminum Replacement Windows with Sealed Insulating Glass and Trapezoidal Muntin Grids,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows13.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Reinforcing Deteriorated Wooden Windows,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows14.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Interior Storms for Steel Casement Windows,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows15.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Repairing and Upgrading Multi-Light Wooden Mill Windows,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows16.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Repair and Retrofitting Industrial Steel Windows,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows17.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,"Aluminum Replacement Windows With True Divided Lights, Interior Piggyback Storm Panels, and Exposed Historic Wooden Frames",,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows18.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Repairing Steel Casement Windows,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows19.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Aluminum Replacement Windows for Steel Projecting Units with True Divided Lights and Matching Profiles,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows20.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Replacement Wood Sash Utilizing True Divided Lights and an Interior Piggyback Energy Panel,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows21.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Maintenance and Repair of Historic Aluminum Windows,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/tech-notes/Tech-Notes-Windows22.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Preserving Historic Corridors in Open Office Plans,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/tech-notes/Tech-Notes-Interior01.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Preserving Historic Office Building Corridors,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/tech-notes/Tech-Notes-Interior02.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Preserving Historic Corridor Doors and Glazing in High-Rise Buildings,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/tech-notes/Tech-Notes-Interior03.pdf,,,,Preservation Tech Notes,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,Historic Surplus Property Program—New Uses for Federal Properties,,,,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/historic-surplus/historic-surplus-property.pdf,,,,Technical Publications,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,A Glossary of Historic Masonry Deterioration Problems and Preservation Treatments,,,1984,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/Historic-Masonry-Deterioration.pdf,,,,Technical Publications,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,"Keeping It Clean: Removing Exterior Dirt, Paint, Stains and Graffiti from Historic Masonry Buildings",,,1988,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/preservedocs/Keeping-It-Clean.pdf,,,,Technical Publications,,,,,,,,,United States,,,,English,
Public Policy,General,Law and the Historic Preservation Commission,,,,,Publication,PDF,National Alliance of Preservation Commissions,http://napcommissions.org/wp-content/uploads/2013/08/01-Law-and-the-HPC.pdf,,,,The Alliance Review,,,,,,,,,United States,"Published by Cultural Resources Partnership Notes, this article provides an overview of laws and legal actions pertaining to historic preservation commissions.",,,English,Preservation Law
Public Policy,General,For the Record: A Short Guide to Parliamentary Procedure,,,,,Publication,PDF,National Alliance of Preservation Commissions,http://napcommissions.org/wp-content/uploads/2013/08/04-For-the-Record.pdf,,,,The Alliance Review,,,,,,,,,United States,A Short Guide to Parliamentary Procedure,,,English,Preservation Law
Public Policy,General,Local Preservation Ordinances,,,,,Publication,PDF,National Alliance of Preservation Commissions,http://napcommissions.org/wp-content/uploads/2013/08/05-Local-Preservation-Ordinances.pdf,,,,The Alliance Review,,,,,,,,,United States,"This article looks at aspects of creating, amending, and reviewing preservation ordinances, as well as providing information on aspects of historic preservation and conservation overlay zones.",,,English,Preservation Law
Public Policy,General,Assessing Economic Hardship Claims,,,,,Publication,PDF,National Alliance of Preservation Commissions,http://napcommissions.org/wp-content/uploads/2013/08/06-Assessing-Econ-Hardship-Claims.pdf,,,,The Alliance Review,,,,,,,,,United States,This article looks at the components of economic hardship claims and gives advice on how to evaluate the evidence presented within the claim.,,,English,Preservation Law
